Word	m4wt	w4mt
cute	3	6
all	2	2
help	4	6
chinese	2	2
affair	2	0
gentleman	3	8
over	2	2
queen	2	0
pub,	2	0
financially	2	0
london	9	9
asian	3	2
replies	3	0
alternative	3	0
bank	2	0
worship	3	3
one	2	3
ballet	2	0
buddy	3	0
c	2	4
(	2	0
young	15	7
sugar	3	3
to	52	49
lets	4	3
going	2	0
black	25	31
attractive	7	14
pretty	5	4
pussy	2	0
passion	3	0
handsome	4	0
real	6	4
do	3	3
submissive	17	0
good	10	11
dominant	5	4
honest	3	0
get	6	2
very	9	2
geek	2	0
game	3	0
discreet	3	0
breast	4	0
chat	3	0
say	2	0
drinking	2	0
now	2	2
lady	26	15
day	2	3
bigger	3	0
wont	2	0
term	2	0
like	6	9
pregnant	2	0
shy	2	0
married	7	0
relationship?	2	0
morning	2	0
large	3	0
gig,	2	0
bad	2	0
race	2	3
?	4	4
lose	3	0
small	4	0
x	2	2
guy	34	29
(££)	4	0
where	2	2
mate	2	0
busty	2	4
financial	2	2
hard	3	0
some	8	0
lazy	2	0
london?	3	0
up	5	0
see	2	0
bills?	2	0
are	23	6
wife	3	0
home	8	0
girl	45	42
saturday	7	0
out	9	5
specific	3	0
recently	2	0
sub	5	0
for	133	128
visiting	4	0
maddox	3	0
boy	3	2
please	4	4
4	3	0
creative	3	0
looking	73	79
tonight?	5	6
indian	10	0
oriental	5	4
mum	2	0
new	2	6
soulmate	2	0
dominate	2	0
seeks	36	21
can	4	3
hairy	4	0
be	11	9
we	3	0
drink	3	0
led	2	0
ladies...!	2	0
spoiled	2	0
free	5	7
understanding	2	0
step	2	0
let	2	0
here	3	5
alone	3	2
sexy	8	4
mistress	2	0
wanted	21	6
come	2	0
by	6	0
after	2	0
improve	5	0
ltr	6	12
great	3	0
daddy	3	4
benefits	2	4
of	16	6
gent	4	4
somebody	2	0
35	2	0
times	4	0
intelligent,sexy,tactile	2	0
american	9	12
afternoon	5	0
monogamous	3	0
or	9	6
massage	13	6
beautiful	4	7
ladies	5	0
love	8	9
**	3	0
feel	2	0
nsa	4	7
fun?	2	0
fancy	3	5
m4w	22	0
feet	2	0
female	17	12
movida,	2	0
anyone?	2	0
quality	3	0
your	17	9
size	2	4
from	4	5
would	5	0
start	2	3
cath	2	0
*	17	22
girls	8	0
only	3	5
long	3	2
whos	2	0
few	2	0
live	2	0
there?	2	0
master	3	3
female#8207;	2	0
white	11	23
bored	3	3
really	3	0
today	5	2
more	4	3
wants	3	6
pep)	2	0
life	3	4
educated	3	0
relationship	11	10
on	4	10
company	3	3
musician	3	0
about	3	0
charming	5	0
lonely	2	3
